year_week,category_en,total_orders,cancellations,cancel_rate_pct,rolling_cancel_mean,rolling_cancel_std,cancel_z_score,is_refund_spike
2017-W09,auto,10,1,10.0,1.77625,3.3535224018932666,2.4522722720913372,True
2017-W19,auto,22,2,9.09,1.19,3.3658282784479647,2.34711914763602,True
2017-W21,auto,23,5,21.74,2.32625,4.3089108252550306,4.505488924536043,True
2018-W14,auto,86,1,1.16,0.1475,0.41719300090006073,2.4269342913606216,True
2018-W19,auto,87,1,1.15,0.145,0.4101219330881953,2.4504907416982213,True
2018-W31,auto,89,2,2.25,0.275,0.777817459305201,2.5391561688062434,True
2017-W31,baby,30,1,3.33,0.39125,1.1066221125569469,2.655603901868328,True
2018-W06,baby,41,2,4.88,0.56875,1.6086679271993953,2.6800124047389042,True
2018-W30,baby,64,5,7.81,0.26625,0.7530687219636737,10.017346066809415,True
2017-W30,bed_bath_table,104,16,15.38,0.10875,0.3075914498161484,49.64783646986233,True
2017-W31,bed_bath_table,82,18,21.95,2.03125,5.4022943208021745,3.6870908575455603,True
2017-W46,bed_bath_table,121,1,0.83,0.095,0.26870057685096277,2.735386758799831,True
2018-W05,bed_bath_table,162,1,0.62,0.08,0.22627416997978408,2.3864853865036606,True
2018-W09,bed_bath_table,154,2,1.3,0.24125000000000002,0.33322825724810745,3.17725155946694,True
2018-W20,bed_bath_table,173,1,0.58,0.085,0.24041630560350993,2.058928568748347,True
2018-W28,bed_bath_table,68,1,1.47,0.14999999999999997,0.27795169158899324,4.749026683211851,True
2018-W30,bed_bath_table,125,13,10.4,0.26125,0.534427263526141,18.971243968926135,True
2018-W31,bed_bath_table,165,27,16.36,1.56125,3.6096158778621192,4.09981297200103,True
2018-W06,books_general_interest,7,1,14.29,1.38875,3.927978169491271,3.2844505349353543,True
2018-W25,books_general_interest,10,1,10.0,0.735,2.0788939366884502,4.45669682156011,True
2017-W15,computers_accessories,27,1,3.7,0.3575,1.0111626970967629,3.3056005819804692,True
2017-W21,computers_accessories,44,5,11.36,0.99125,1.5064569359925295,6.882871824788371,True
2017-W31,computers_accessories,77,1,1.3,0.18625,0.5267945519839765,2.114201818916831,True
2017-W39,computers_accessories,46,2,4.35,0.1625,0.4596194077712544,9.110798911442085,True
2017-W45,computers_accessories,75,6,8.0,1.1875,1.5374073723549744,4.431161267013263,True
2018-W04,computers_accessories,157,4,2.55,0.28875,0.5691456630022613,3.9730602321940482,True
2018-W22,computers_accessories,42,2,4.76,0.095,0.26870057685088444,17.36133228544889,True
2017-W14,cool_stuff,28,1,3.57,0.43125,1.2197591975467945,2.5732538080571317,True
2017-W37,cool_stuff,48,1,2.08,0.23625,0.6682159082212872,2.7592129689157616,True
2018-W04,cool_stuff,49,1,2.04,0.14875,0.42072853480599587,4.495178823257337,True
