seller_id,category_en,total_orders,short_orders,revenue,short_rate_pct
001cca7ae9ae17fb1caed9dfb1094831,construction_tools_construction,27,25,6706.34,92.6
001cca7ae9ae17fb1caed9dfb1094831,garden_tools,209,204,40851.61,97.6
002100f778ceb8431b7a1020ff7ab48f,furniture_decor,57,52,2412.64,91.2
004c9cd9d87a3c30c522c48c4fc07416,bed_bath_table,161,154,24893.44,95.7
00720abe85ba0859807595bbf045a33b,housewares,26,25,3118.4,96.2
00ee68308b45bc5e2660cd833c3f81cc,bed_bath_table,162,157,34174.1,96.9
00ee68308b45bc5e2660cd833c3f81cc,furniture_mattress_and_upholstery,22,20,2788.74,90.9
00fc707aaaad2d31347cf883cd2dfe10,computers_accessories,135,127,25822.96,94.1
010da0602d7774602cd1b3f5fb7b709e,kitchen_dining_laundry_garden_furniture,5,5,5398.75,100.0
013900e863eace745d3ec7614cab5b1a,baby,10,10,1207.68,100.0
013900e863eace745d3ec7614cab5b1a,fashion_shoes,15,15,1392.51,100.0
014c0679dd340a0e338872e7ec85666a,kitchen_dining_laundry_garden_furniture,11,10,5505.99,90.9
014d9a685fd57276679edd00e07089e5,stationery,9,9,763.35,100.0
0176f73cc1195f367f7b32db1e5b3aa8,bed_bath_table,38,34,6249.04,89.5
01bcc9d254a0143f0ce9791b960b2a47,health_beauty,12,12,1644.69,100.0
01c97ebb5cdac52891c0ed1c37ba0012,computers_accessories,12,12,1193.8600000000001,100.0
01cf7e3d21494c41fb86034f2e714fa1,air_conditioning,21,21,2070.69,100.0
01cf7e3d21494c41fb86034f2e714fa1,cool_stuff,8,8,593.94,100.0
01cf7e3d21494c41fb86034f2e714fa1,home_appliances_2,22,21,3886.74,95.5
01cf7e3d21494c41fb86034f2e714fa1,housewares,30,29,3186.66,96.7
01ed254b9ff8407dfb9d99ba1e17d923,watches_gifts,5,5,1533.71,100.0
01fd077212124329bac32490e8ef80d9,construction_tools_construction,6,6,1072.44,100.0
01fd077212124329bac32490e8ef80d9,garden_tools,5,5,401.99,100.0
01fd077212124329bac32490e8ef80d9,health_beauty,14,14,863.15,100.0
01fd077212124329bac32490e8ef80d9,toys,10,10,726.45,100.0
01fdefa7697d26ad920e9e0346d4bd1b,health_beauty,134,129,18075.39,96.3
0241d4d5d36f10f80c644447315af0bd,furniture_decor,260,253,41227.21,97.3
0249d282d911d23cb8b869ab49c99f53,sports_leisure,11,11,570.03,100.0
024b564ae893ce8e9bfa02c10a401ece,market_place,6,6,3751.2000000000003,100.0
02c988090b766852e088c69d7fb3b551,signaling_and_security,14,14,1429.22,100.0
02d35243ea2e497335cd0f076b45675d,furniture_decor,16,11,8408.63,68.8
02dcd3e8e25bee036e32512bcf175493,stationery,15,13,2027.55,86.7
02ecc2a19303f05e59ce133fd923fff7,furniture_decor,6,6,1790.74,100.0
02ecc2a19303f05e59ce133fd923fff7,garden_tools,10,10,2808.05,100.0
02ecc2a19303f05e59ce133fd923fff7,home_construction,9,9,3245.43,100.0
02f5837340d7eb4f653d676c7256523a,luggage_accessories,30,29,4463.88,96.7
02f623a8eb246f3c5f7c2f96462654e6,sports_leisure,41,40,6734.22,97.6
034b9387752bfa309f350a70cd45ffa3,toys,9,9,240.26,100.0
039b29ff3b3473435d0cd59040575de9,music,5,5,142.55,100.0
039e6ad9dae79614493083e241147386,garden_tools,5,4,13273.42,80.0
03a2a6dcbe45d639c4dc2a0d24769c40,garden_tools,9,8,1250.66,88.9
0417b067eeab773d2f7061a726dc477f,auto,14,13,2501.75,92.9
04308b1ee57b6625f47df1d56f00eedf,health_beauty,91,84,61423.96,92.3
0432ead42b6c8a0bdf68154add917fdf,toys,88,87,9967.02,98.9
044668ccd5316b12a7cf0d54a156e3e9,food,5,5,275.28999999999996,100.0
048c2757535328e0d7dac690ad3c0aae,fashion_shoes,52,44,10312.41,84.6
04aa0a1c5ce6b222003403a3e11c3cc0,auto,16,15,14270.17,93.8
04aba03279157f6d4e0fe8ccaf21963c,health_beauty,14,13,2498.77,92.9
04e38a233f726ef161074ab1c9b0399a,baby,5,5,231.62,100.0
04e38a233f726ef161074ab1c9b0399a,housewares,9,9,757.13,100.0
04e38a233f726ef161074ab1c9b0399a,sports_leisure,11,10,1015.98,90.9
04fdea0c111866e6cf812f1570d6b5bd,computers_accessories,7,7,819.7,100.0
0509040ea3fe50071181bbc359eb7738,housewares,9,9,685.54,100.0
0509040ea3fe50071181bbc359eb7738,sports_leisure,90,87,5286.29,96.7
054694fa03fe82cec4b7551487331d74,cool_stuff,7,6,3007.25,85.7
054694fa03fe82cec4b7551487331d74,home_appliances_2,5,3,2591.44,60.0
054694fa03fe82cec4b7551487331d74,small_appliances,8,6,3988.7,75.0
056b4ada5bbc2c50cc7842547dda6b51,electronics,5,4,2413.79,80.0
056b4ada5bbc2c50cc7842547dda6b51,watches_gifts,59,56,11166.33,94.9
0570350b23eda5444f8d1d9544932058,health_beauty,5,5,515.4200000000001,100.0
0570350b23eda5444f8d1d9544932058,perfumery,6,6,1654.54,100.0
058cb5aeb36d7c0fcae20fc85d5e0a59,luggage_accessories,12,12,2102.4,100.0
058fd0aa2bfdb2274e05e1ae971dabb6,perfumery,60,57,8463.880000000001,95.0
05d2173d43ea568aa0540eba70d2ca76,auto,51,51,6671.1,100.0
05d2173d43ea568aa0540eba70d2ca76,construction_tools_construction,12,10,936.38,83.3
05e107217c7266362fd44b75b2cd4cc4,stationery,8,8,405.31,100.0
05f51e13da97139648b8125c31e5f51b,baby,58,53,16618.14,91.4
05feb94f19d094d4b0f9281f0b1d4c99,garden_tools,5,4,7156.54,80.0
05ff92fedb5be47920fea08e501238b9,cool_stuff,32,31,10611.57,96.9
05ff92fedb5be47920fea08e501238b9,health_beauty,11,10,5269.39,90.9
05ff92fedb5be47920fea08e501238b9,small_appliances,18,17,8869.539999999999,94.4
062ce95fa2ad4dfaedfc79260130565f,bed_bath_table,18,17,1570.64,94.4
062ce95fa2ad4dfaedfc79260130565f,furniture_decor,25,24,4998.389999999999,96.0
062ce95fa2ad4dfaedfc79260130565f,market_place,13,13,3562.12,100.0
06532f10282704ef4c69168b914b77be,garden_tools,7,6,10551.859999999999,85.7
06579cb253ecd5a3a12a9e6eb6bf8f47,housewares,68,61,7803.08,89.7
066a6914e1ebf3ea95a216c73a986b91,auto,9,9,2656.82,100.0
066a6914e1ebf3ea95a216c73a986b91,furniture_decor,12,10,1002.09,83.3
066a6914e1ebf3ea95a216c73a986b91,sports_leisure,46,45,7734.3,97.8
0691148aee60ca47977c187804f935ae,auto,11,11,730.98,100.0
0691148aee60ca47977c187804f935ae,sports_leisure,40,38,9565.460000000001,95.0
06a2c3af7b3aee5d69171b0e14f0ee87,health_beauty,406,364,51451.54,89.7
06bb3a2fe5e7b7a845b13e8fb91bd944,health_beauty,19,19,2028.66,100.0
06df0c10d34e459d9672bc77388742eb,sports_leisure,28,27,11481.82,96.4
06e5eefc71ec47ae763c5c6f8db7064f,computers_accessories,33,32,8330.9,97.0
06e5eefc71ec47ae763c5c6f8db7064f,construction_tools_safety,25,25,8749.78,100.0
06e5eefc71ec47ae763c5c6f8db7064f,cool_stuff,18,18,3788.58,100.0
06e5eefc71ec47ae763c5c6f8db7064f,electronics,10,10,2235.21,100.0
07017df32dc5f2f1d2801e579548d620,telephony,6,6,800.5899999999999,100.0
070d165398b553f3b4b851c216b8a358,pet_shop,45,43,6564.1900000000005,95.6
0725b8c0f3f906e58f70cbe76b7c748c,housewares,16,14,2764.99,87.5
0725b8c0f3f906e58f70cbe76b7c748c,sports_leisure,6,6,1782.12,100.0
0725b8c0f3f906e58f70cbe76b7c748c,stationery,10,10,3883.56,100.0
0747d5bb69f0586cc869d8af4c50f93e,perfumery,13,12,582.08,92.3
0761743cbffb25d7148189e9f1a5f03a,health_beauty,6,6,1213.5,100.0
077c5fae4bea9500e3737b16f71b9d3a,housewares,6,6,421.62,100.0
0791d9fc1e30678ecf03d3e55fa108d3,housewares,11,11,3943.31,100.0
079d295dcbf06ee8bb1b65ba964eb2b6,construction_tools_construction,10,10,2142.99,100.0
07bf9669d84d1f11be443a9dd938f698,kitchen_dining_laundry_garden_furniture,22,22,3616.11,100.0
07de60b03d150fb3ea09eab5da5e4c8b,bed_bath_table,11,10,937.75,90.9
080102cd0a76b09e0dcf55fcacc60e05,computers_accessories,95,93,7280.08,97.9
080102cd0a76b09e0dcf55fcacc60e05,consoles_games,28,28,864.35,100.0
080199a181c46c657dc5aa235411be3b,auto,84,82,17035.9,97.6
08061dc0fc165ed41288cc7acde738ee,computers_accessories,5,4,182.22,80.0
08084d990eb3f53af056ccbc1730c8a7,electronics,12,12,795.98,100.0
081acf3de680d554796c9cf041be7bc2,furniture_decor,7,7,2650.63,100.0
082e0bf4cb865a6533b1e8e498cc0255,garden_tools,22,19,9082.29,86.4
08633c14ef2db992c11f840f04fad4cd,food_drink,8,8,667.17,100.0
08633c14ef2db992c11f840f04fad4cd,health_beauty,12,12,1384.69,100.0
08633c14ef2db992c11f840f04fad4cd,sports_leisure,73,70,12771.1,95.9
0873d9f8f36123f8d910f4760e788cfb,telephony,5,4,6021.56,80.0
0885aaf116795758dfeb5f1032487bcd,bed_bath_table,25,25,2866.35,100.0
0887a9f087bcd5d9f6642b52f897fc6c,telephony,7,6,840.27,85.7
08ad4ac1388e4420ca531c3edfc46198,pet_shop,7,7,436.46000000000004,100.0
