customer_unique_id,last_order_date,total_orders,lifetime_value,is_high_value,days_inactive,is_churned
00053a61a98854899e70ed204dd4bafe,2018-02-28 11:15:41,1,419.18,True,231,True
000de6019bb59f34c099a907c151d855,2017-08-17 19:10:33,1,257.44,True,425,True
0010a452c6d13139e50b57f19f52e04e,2017-07-11 11:22:43,1,325.93,True,463,True
001147e649a7b1afd577e873841632dd,2017-08-31 17:12:56,1,212.16,True,412,True
0011805441c0d1b68b48002f1d005526,2017-04-24 13:36:48,1,297.14,True,541,True
002043098f10ba39a4600b6c52fbfe3c,2017-03-26 16:45:59,1,237.81,True,570,True
0028a7d8db7b0247652509358ad8d755,2017-12-13 15:49:39,1,354.87,True,308,True
00293787e2aec37a9c253b63fdfe2049,2017-10-27 14:25:35,1,257.87,True,355,True
002aba8c1af80acacef6e011f9f23262,2018-02-27 12:47:48,1,217.74,True,232,True
002ae492472e45ad6ebeb7a625409392,2017-10-08 23:56:02,1,218.66,True,373,True
002cdf87d4c03f08f7eb4551a923affc,2017-10-31 17:32:22,1,228.67,True,350,True
00370dfde3d012c420d29657afc2fc8b,2018-01-29 12:54:38,1,237.0,True,261,True
0037aa56b017c105c3a9d47af71fff98,2018-01-26 16:52:56,1,443.73,True,264,True
0037eb1ff742ee2e71ba887f65f3c6f3,2017-07-13 09:00:21,1,228.79,True,461,True
004177f7bf62929186b32c7fdaa6157b,2017-10-19 16:07:11,1,433.98,True,363,True
004256f082951ec189a4962b6788c214,2018-03-23 11:37:58,1,259.15,True,208,True
004288347e5e88a27ded2bb23747066c,2018-01-14 07:36:54,2,354.37,True,276,True
005226be8d5b972d0f72b4e8a79f322b,2018-04-01 22:07:00,1,1600.51,True,198,True
0055b522bc89cbfbf376d8b59a628470,2017-03-03 15:48:57,1,364.75,True,593,True
005ff4ebe100db3eebbe6f7b19a8f99a,2017-09-13 15:10:21,1,236.81,True,399,True
0064a1b5f5cddd047c987b988a90c8c1,2018-03-02 08:33:32,1,269.2,True,229,True
006ab6f5e82340e927757563a9fbe7e4,2017-12-02 11:18:55,1,300.6,True,319,True
00728bae3dec9c16b2193ab7e3195eb7,2018-01-14 23:22:38,1,211.01,True,275,True
00762eafc5dac5fc1574f91e9b7c9b67,2018-02-07 22:06:31,1,233.93,True,251,True
00765d375af0e700f61c57db00a8ee63,2017-08-10 16:54:23,1,215.01,True,433,True
00776f3807b128beca64cd0b27138d92,2017-09-21 19:05:52,1,321.57,True,390,True
0077dc76aaf02323f03bce9b00878253,2018-03-11 17:09:55,1,874.42,True,220,True
0085139b503668b3addcfe826d91be8d,2018-01-30 13:48:42,1,504.47,True,260,True
0085d749fc64f766ece1729464f8039a,2018-03-21 22:59:41,1,349.53,True,209,True
008778a1591d49f6b2464dffaa4fa662,2017-07-19 19:43:14,1,260.55,True,454,True
008f3d5f45a11059239a5c452cd00006,2017-01-26 09:11:37,1,336.56,True,629,True
0093c499f4f9c0e169ead490aa62ce3e,2017-06-12 19:38:57,1,226.22,True,491,True
0096c18412349537abc45e350581cbbc,2017-03-14 17:33:28,1,770.24,True,581,True
0097fca0db567f5ca79509b7b4fc1c2d,2018-04-19 11:17:55,1,227.63,True,181,True
00a9fd000ff87bb48b989df819c418f5,2018-03-20 07:08:27,1,259.4,True,211,True
00ac9cd5c4ad19e16e7c6f6864711737,2017-04-28 14:20:07,1,231.45,True,537,True
00adeda9b742746c0c66e10d00ea1b74,2017-11-07 16:54:04,1,2148.4,True,344,True
00b0d21952ae29dfe79db614512a27c2,2017-12-08 13:19:14,1,418.17,True,313,True
00b1b0f856eb804d554ceab3d8f1dc35,2018-01-19 01:17:29,1,226.14,True,271,True
00b2ee6366438f46105832fd9acaf56f,2018-04-03 12:39:14,1,283.54,True,197,True
00b8076004092a29c2c934570c356fc7,2018-03-20 22:36:58,1,223.88,True,210,True
00bee19e1199bc5cede1c674177b9e22,2017-11-17 19:42:27,1,673.69,True,333,True
00c3624c55261d9ce593f30e3815a880,2017-03-18 11:24:06,1,414.06,True,578,True
00cf2f12497614285e5dbfb77d6dd312,2018-04-17 09:50:44,1,284.23,True,183,True
00d8411c0f5ee4e0a9b8900ea483680e,2017-12-09 21:53:29,1,246.38,True,311,True
00d8ba74be3eee415fe4508fdd325ee5,2018-01-31 15:46:03,1,372.69,True,259,True
00db525fd8d4023dc446f0ed2519139f,2017-07-26 09:59:26,1,212.43,True,448,True
00e2972a013072289c3e86cfc2b9e38d,2017-09-03 21:16:20,1,215.05,True,408,True
00e872ca2fc94e59982286e69f186e0e,2017-08-12 17:08:34,1,420.94,True,431,True
00e8cbf31206edcf22b7b118daa13983,2018-01-17 17:59:39,1,292.22,True,272,True
00eca7e1c994897d0a31bf75478f4b55,2017-03-04 23:21:48,1,373.22,True,591,True
00ecc71175078e2cac5547a5656e9622,2017-06-10 18:02:25,1,235.13,True,493,True
00fb8f6787f67bd33c7e86c9691d2b1c,2018-01-15 17:03:23,1,274.39,True,275,True
01018f26fb8b8a922c025de40a85a553,2018-01-06 16:40:02,1,213.43,True,284,True
01029c2615eacab8d39f0450e6b0bef3,2017-08-03 16:55:25,1,227.27,True,440,True
0104a702e0f73442fe4dc3bfff6ba373,2018-04-08 11:20:58,1,273.25,True,192,True
0104d8ef04b9df2891e69bc0e2e6dca4,2017-04-13 16:00:12,1,475.47,True,552,True
010c88e815c8386129e0762691851850,2017-09-19 09:02:15,1,223.44,True,393,True
010d09c16c5fee11226ca7c5492892de,2017-11-24 12:23:11,1,220.54,True,327,True
011575986092c30523ecb71ff10cb473,2018-04-18 21:58:08,2,214.9,True,181,True
011784926e81122b1abd0210b5888c22,2018-02-19 15:37:39,1,346.45,True,240,True
011875f0176909c5cf0b14a9138bb691,2017-03-18 20:08:04,1,4016.91,True,577,True
011b4adcd54683b480c4d841250a987f,2018-02-15 11:40:57,2,236.3,True,244,True
011fd4914a2d19b2a0e50c29cea5c6a2,2017-05-06 20:58:27,1,261.9,True,528,True
012755131a5b785b0ae3291c339a9051,2018-03-24 13:13:08,1,378.2,True,207,True
0129d48dce554d95f641d01eaa88904a,2018-03-15 22:07:54,1,1429.59,True,215,True
013341d7f8accddf42fc02f001ad341d,2017-08-28 21:51:16,1,675.01,True,414,True
013a435769899074c568863694560449,2018-03-27 22:03:44,1,1005.81,True,203,True
013f4353d26bb05dc6652f1269458d8d,2017-11-28 13:30:58,2,356.39,True,323,True
01440d8dea55a5d0ed27d26c41044761,2018-02-10 20:36:35,1,241.25,True,248,True
014410afdd8e0393ec17e9d8488449e0,2018-02-23 12:04:01,1,790.32,True,236,True
014e4042a6b3ed0b1a6cd14c7639bb84,2018-04-04 05:12:09,1,241.48,True,196,True
0153b79c47a4953a7dad6fb93ab45a02,2017-10-08 21:20:24,1,211.6,True,373,True
015557c9912277312b9073947804a7ba,2017-05-01 14:48:33,2,315.12,True,534,True
015906d05142c9dc02e816c29c044bba,2018-01-09 00:53:15,1,308.64,True,281,True
015ba10edbe7988bff82867b4480c225,2017-06-30 14:05:06,1,261.24,True,474,True
015d45ef9d6462cf0d5f062c54f26941,2018-01-20 22:16:13,1,209.95,True,269,True
015fcc1fe9d3319fb41b08e986684598,2017-06-24 12:58:30,1,317.35,True,480,True
0167a6f5d58d5632b42c44e7f66f2abf,2018-01-17 08:55:50,1,419.16,True,273,True
016846e2dd862cba9a2a10eff5ac244f,2017-05-12 15:34:02,1,474.96,True,523,True
016a461e59c71a989c278fb565441696,2017-08-08 19:38:41,1,222.24,True,434,True
016c60628fc64e15fa5990e58a0b57c1,2017-07-20 11:20:52,1,304.56,True,454,True
01726e5d6a88d1a8dffd9578872ce54e,2018-02-14 11:42:55,1,834.94,True,245,True
0176190d05dbc46f20484610a0a0e1fb,2017-04-27 15:15:48,1,305.7,True,538,True
0177f6975b155c814ea6273eccc58d82,2018-03-02 11:01:32,1,230.86,True,229,True
017adfe7897c78902d9f7d58cd855990,2017-08-15 09:26:10,1,266.86,True,428,True
017bddd3844cbc8c9259179f66786333,2018-01-26 22:32:51,1,219.28,True,263,True
018ccb97f791b89dc7ae72b4a114b00a,2017-12-01 17:30:00,1,213.09,True,320,True
01927626c24c5826ceb6ca6b2797fd60,2018-03-21 11:23:05,1,282.52,True,210,True
0199360d5869b53eece5870f3bd1ef0e,2017-05-21 08:05:33,1,758.93,True,514,True
019ac5580a897d52e5ed6f7ed89ade27,2017-09-06 09:49:37,1,1337.19,True,406,True
019cd54cc450bdfb2de3e83dced0c511,2017-08-02 08:39:37,1,223.14,True,441,True
019d47513bb1164cc83fc2d6d7123ef8,2017-02-10 21:37:36,1,208.16,True,613,True
019e6c1c524669436535388a1cd5cefd,2017-07-27 13:25:38,1,386.24,True,447,True
01a013f2d3d7b0fa074a09d3e6e7b611,2017-04-13 17:20:42,1,302.54,True,552,True
01aa30b6c0412a1548fc29e2c98033cf,2017-11-22 14:14:41,1,310.21,True,329,True
01b0e4e53ea06107438b0738d8d670e2,2018-01-25 17:46:01,1,236.16,True,264,True
01b466cc9a9e663eb04f4b8890dbc5f1,2017-10-12 11:12:39,1,821.35,True,370,True
01bbbfc56b8ec1052e46f260226e34f9,2018-04-02 15:21:10,1,314.04,True,198,True
01c289bb06354cdc7e6549570f20ada4,2017-12-26 21:14:43,2,242.5,True,294,True
01cd1ef6c24558b19ce2dab8801fabcb,2018-03-21 15:05:19,1,695.59,True,210,True
01dff584b4563da3703fa375287a3a69,2018-02-22 08:35:57,1,237.0,True,237,True
01e019838e4e21dd66bb6f69352334f8,2017-12-03 00:31:45,1,379.08,True,318,True
01e4f76dbf261176b87ed09f6803c596,2018-03-06 18:46:32,1,413.02,True,224,True
01e8bcc3377762cf85025138b2901947,2017-04-19 20:44:21,1,221.64,True,545,True
01ea7dfdac01a4e8fbe2902b73510b20,2018-02-09 17:36:45,2,276.75,True,249,True
01ef3ec35f556231aee2f73e8bc6f8a0,2017-10-04 20:45:59,1,237.88,True,377,True
01f156677184504063bd19739f924af1,2016-10-10 13:57:41,1,784.8,True,737,True
01f1af590b3fa6e09ee79551635926b4,2017-11-27 21:25:55,1,270.67,True,323,True
01f2c78d8578f27b62ca1186752e1532,2017-11-30 18:12:14,1,386.33,True,320,True
01f6fa760c8cee5fef785c7a73321534,2017-11-26 19:46:39,1,621.83,True,324,True
01fee81dfa09d00693bbb79aaf922f89,2017-05-24 20:28:44,1,257.79,True,510,True
020504cfbef989c034f403ab0076c408,2017-11-24 16:20:38,1,249.08,True,327,True
02054940ff45a170ddd0acca60575eea,2018-01-25 11:04:33,1,238.41,True,265,True
0209a0a5c96cc50dd1bbe71e3730af2a,2017-05-22 14:20:45,1,245.94,True,513,True
0213ec5289d86c40bda69ed571b5853f,2017-12-18 18:26:07,1,600.43,True,302,True
0213fe7fbaa0a7e81c16350785e367e6,2018-03-01 18:43:02,1,213.74,True,229,True
02168ea18740a0fdaaa15f11bebba5db,2017-10-09 22:05:59,2,264.04,True,372,True
0228e299d1cabeaf9be64b5ccd784c97,2017-07-21 13:24:01,1,1150.54,True,453,True
022e9ef39a8047a24a813f57ad382b94,2017-09-03 17:12:40,1,647.54,True,409,True
0247fad5e7e46592d7216d01e9a2d7f6,2017-02-26 21:07:49,1,208.59,True,597,True
024bc6c3997170f0ca30edba8ba8aa55,2017-09-11 11:41:21,1,307.8,True,401,True
025243a8f6e8e4afd7def031078725bf,2017-11-27 07:03:15,1,248.08,True,324,True
02552fea6f4fa9a5c61bf9d22408ae73,2017-04-08 00:04:45,1,251.76,True,557,True
0256fe01df094f555379b7d453ba22fc,2017-11-28 09:10:12,1,453.33,True,323,True
025fef1b215081d46d39595c7b67c9a5,2017-08-02 13:39:43,1,223.14,True,441,True
