order_id,list_price,actual_paid,discount_pct,leakage_type,detected
0016dfedd97fc2950e388d2971d718c7,141.1,70.55,50.0,L1_discount_abuse,True
0071ee2429bc1efdc43aa3e073a5290e,384.88,192.44,50.0,L1_discount_abuse,True
009ac365164f8e06f59d18a08045f6c4,192.0,32.0,83.33,L1_discount_abuse,True
00b4a910f64f24dbcac04fe54088a443,101.18,50.59,50.0,L1_discount_abuse,True
00bd50cdd31bd22e9081e6e2d5b3577b,257.4,85.8,66.67,L1_discount_abuse,True
00c405bd71187154a7846862f585a9d4,326.83,46.69,85.71,L1_discount_abuse,True
00c95282163553a982f38481f9488481,499.6,124.9,75.0,L1_discount_abuse,True
00e6bc6b166eb28b4502c1cad4457248,303.86,151.93,50.0,L1_discount_abuse,True
013037c3f1773cc8fdbaf8ff54d8013b,61.02,30.51,50.0,L1_discount_abuse,True
01358622f65717728b3b2ec2cf4e8812,43.54,21.77,50.0,L1_discount_abuse,True
013bc77d3ca5fba084a241fdcb307393,74.18,37.09,50.0,L1_discount_abuse,True
0216ea85f929ce4795f933573c6bb055,183.06,91.53,50.0,L1_discount_abuse,True
0218c7a4fb8d5b1bd22c82b783b8359c,100.02,50.01,50.0,L1_discount_abuse,True
02725851051698269253f0823e7824b6,53.36,26.68,50.0,L1_discount_abuse,True
028369515408fa864cfe50091d4e76c5,103.68,51.84,50.0,L1_discount_abuse,True
02950daa1214da108fb29cb5a0a3f74e,176.18,88.09,50.0,L1_discount_abuse,True
02d0cd05f04ab2e3c1acc473b0abc865,172.08,86.04,50.0,L1_discount_abuse,True
02dbd29bc7a490d582762fae9f0fd997,138.9,69.45,50.0,L1_discount_abuse,True
033a7061d514534d3459c3f1f06fe341,159.26,79.63,50.0,L1_discount_abuse,True
033ccfbdfc4d29677b7e1e6df3a82820,119.92,69.26,42.24,L1_discount_abuse,True
035678e70978296fb0e7469a611c322e,407.14,203.57,50.0,L1_discount_abuse,True
035ab6fc3b7f9d16f714a337ee63b7be,89.48,44.74,50.0,L1_discount_abuse,True
03604d9c184f9290e997c49fb585b2b5,706.2,353.1,50.0,L1_discount_abuse,True
036467185263519cd4f15dde1f8664e6,181.55,107.57,40.75,L1_discount_abuse,True
037556f936da90c5f9504956ff286860,145.8,72.9,50.0,L1_discount_abuse,True
0392bc239ce28b0377e6b3073df2c674,270.98,135.49,50.0,L1_discount_abuse,True
039f61edec89c6f0edf8dd1a0bdea1fe,948.66,316.22,66.67,L1_discount_abuse,True
03a10721769c7d8f2fefab105e64fbef,272.14,136.07,50.0,L1_discount_abuse,True
